,index,Cnt
0,Bangalore,204
1,Mumbai,75
2,Work From Home,60
3,Gurgaon,57
4,Delhi,52
5,Noida,49
6,Chennai,41
7,Hyderabad,41
8,Pune,32
9,Kolkata,18
10,Ahmedabad,16
11,Chandigarh,15
12,Jaipur,11
13,Indore,8
14,Mohali,7
15,Vadodara,6
16,Navi Mumbai,6
17,Bhopal,5
18,Coimbatore,5
19,Surat,4
20,Madurai,4
21,Patna,4
22,Greater Noida,3
23,Mangalore,3
24,Gandhidham,3
25,Trivandrum,3
26,Lucknow,2
27,United States (USA),2
28,Ranchi,1
29,Jamshedpur,1
30,South Africa,1
31,Ludhiana,1
32,Mysuru,1
33,Wayanad,1
34,Ooty,1
35,Ambala,1
36,Panipat,1
37,Hosur,1
38,Gulbarga,1
39,Ghaziabad,1
40,Nagpur,1
41,Dubai,1
42,Rajkot,1
43,Dehradun,1
44,Calicut,1
45,Faridabad,1
46,Solapur,1
47,Cochin,1
48,Nasik,1
49,Raipur,1
